id_entrega,fecha_hora_salida,fecha_hora_llegada,ruta,piloto,carga_kg,region,estado_entrega
121,2025-08-19 17:25:53,2025-08-20 03:25:53,Norte,Lucía,164,CABA,A tiempo
122,2025-01-16 06:20:27,2025-01-16 07:20:27,Norte,Miguel,468,GBA,Cancelada
123,2024-09-22 01:51:50,2024-09-22 07:51:50,Norte,María,451,GBA,A tiempo
124,2025-06-21 05:24:01,2025-06-21 10:24:01,Este,Carlos,94,Luján,A tiempo
125,2025-08-18 06:16:38,2025-08-18 13:16:38,Sur,Carlos,286,CABA,Retrasada
126,2024-12-08 07:03:28,2024-12-08 14:03:28,Este,Miguel,410,La Plata,A tiempo
127,2025-04-30 06:07:07,2025-04-30 15:07:07,Central,Miguel,174,CABA,A tiempo
128,2025-02-20 15:48:39,2025-02-21 00:48:39,Norte,Carlos,161,Luján,A tiempo
129,2024-11-27 14:37:15,2024-11-27 23:37:15,Este,Carlos,132,GBA,A tiempo
130,2025-06-06 18:11:12,2025-06-06 23:11:12,Oeste,Miguel,101,Luján,A tiempo
131,2024-10-10 22:21:30,2024-10-11 04:21:30,Este,María,99,CABA,A tiempo
132,2024-12-09 12:56:23,2024-12-09 19:56:23,Central,Juan,118,CABA,A tiempo
133,2025-02-08 15:08:37,2025-02-08 20:08:37,Norte,Juan,387,La Plata,A tiempo
134,2024-10-05 17:54:20,2024-10-05 19:54:20,Central,Juan,85,Luján,A tiempo
135,2024-12-16 00:40:38,2024-12-16 01:40:38,Norte,Juan,91,La Plata,Retrasada
136,2025-04-10 15:23:20,2025-04-10 20:23:20,Este,Carlos,415,La Plata,A tiempo
137,2024-11-15 00:49:33,2024-11-15 10:49:33,Sur,Carlos,488,Luján,A tiempo
138,2024-11-08 02:05:54,2024-11-08 12:05:54,Norte,Juan,281,GBA,A tiempo
139,2025-04-17 06:28:57,2025-04-17 14:28:57,Sur,Carlos,494,La Plata,A tiempo
140,2025-07-01 22:50:21,2025-07-02 04:50:21,Norte,Juan,456,GBA,Retrasada
141,2025-01-01 23:22:59,2025-01-02 02:22:59,Central,Carlos,173,Luján,A tiempo
142,2025-02-10 15:18:52,2025-02-10 22:18:52,Sur,Juan,282,GBA,A tiempo
143,2025-07-18 21:55:42,2025-07-19 05:55:42,Este,Miguel,401,CABA,Retrasada
144,2024-10-10 21:15:50,2024-10-11 02:15:50,Oeste,Lucía,298,CABA,Retrasada
145,2025-07-12 11:14:09,2025-07-12 19:14:09,Central,Juan,366,Moreno,Cancelada
146,2025-01-09 17:22:31,2025-01-09 22:22:31,Central,Lucía,342,CABA,A tiempo
147,2025-08-17 09:00:53,2025-08-17 11:00:53,Oeste,Juan,186,GBA,A tiempo
148,2024-12-22 11:33:46,2024-12-22 19:33:46,Oeste,Lucía,90,GBA,A tiempo
149,2024-10-25 21:12:43,2024-10-26 06:12:43,Norte,Lucía,449,GBA,A tiempo
150,2025-04-14 02:06:28,2025-04-14 06:06:28,Norte,Miguel,118,Luján,A tiempo
151,2024-11-20 19:26:08,2024-11-20 22:26:08,Central,Carlos,245,GBA,Retrasada
152,2025-06-16 13:17:01,2025-06-16 22:17:01,Este,María,195,Moreno,A tiempo
153,2024-12-04 08:34:15,2024-12-04 17:34:15,Este,Miguel,452,Luján,Retrasada
154,2025-04-08 12:45:33,2025-04-08 21:45:33,Este,Juan,85,CABA,Retrasada
155,2025-05-07 05:32:39,2025-05-07 06:32:39,Oeste,Carlos,53,CABA,A tiempo
156,2025-06-05 10:21:26,2025-06-05 11:21:26,Este,Juan,379,La Plata,A tiempo
157,2024-12-22 11:27:11,2024-12-22 14:27:11,Sur,Miguel,207,GBA,Retrasada
158,2025-01-24 18:52:57,2025-01-25 02:52:57,Sur,María,372,GBA,A tiempo
159,2025-01-13 19:56:02,2025-01-14 01:56:02,Central,Carlos,112,Luján,Retrasada
160,2024-10-20 01:08:25,2024-10-20 11:08:25,Central,Lucía,360,La Plata,A tiempo
161,2025-04-20 17:25:56,2025-04-20 21:25:56,Sur,Carlos,204,CABA,A tiempo
162,2024-12-08 06:37:58,2024-12-08 11:37:58,Sur,Juan,434,Luján,A tiempo
163,2025-08-14 03:30:44,2025-08-14 10:30:44,Oeste,Juan,221,CABA,A tiempo
164,2025-06-24 14:17:34,2025-06-24 18:17:34,Oeste,Carlos,222,Moreno,A tiempo
165,2024-12-14 20:26:24,2024-12-14 22:26:24,Este,Carlos,69,La Plata,A tiempo
166,2025-07-23 09:28:24,2025-07-23 16:28:24,Sur,Juan,321,Luján,A tiempo
167,2025-07-11 04:19:30,2025-07-11 14:19:30,Oeste,Juan,418,GBA,A tiempo
168,2024-10-26 00:48:39,2024-10-26 01:48:39,Este,Lucía,181,Luján,A tiempo
169,2025-04-07 11:19:28,2025-04-07 15:19:28,Norte,Lucía,293,CABA,A tiempo
170,2025-06-15 10:57:15,2025-06-15 13:57:15,Sur,Lucía,98,Luján,A tiempo
171,2024-11-06 03:11:46,2024-11-06 08:11:46,Sur,Lucía,285,GBA,A tiempo
172,2024-10-17 22:24:34,2024-10-18 07:24:34,Oeste,Lucía,273,GBA,Retrasada
173,2025-01-19 22:57:41,2025-01-20 02:57:41,Sur,Lucía,230,La Plata,A tiempo
174,2024-09-23 07:55:52,2024-09-23 16:55:52,Norte,María,240,La Plata,Retrasada
175,2024-11-06 23:43:04,2024-11-07 05:43:04,Este,Miguel,293,La Plata,A tiempo
176,2024-09-28 15:50:19,2024-09-28 18:50:19,Este,María,353,GBA,A tiempo
177,2025-04-21 04:59:31,2025-04-21 11:59:31,Norte,Miguel,344,GBA,A tiempo
178,2025-05-12 12:03:12,2025-05-12 19:03:12,Norte,Lucía,482,GBA,A tiempo
179,2025-03-10 08:10:15,2025-03-10 10:10:15,Sur,Miguel,107,Luján,A tiempo
180,2025-02-07 08:15:40,2025-02-07 18:15:40,Central,Juan,118,CABA,A tiempo
181,2024-09-27 00:42:52,2024-09-27 08:42:52,Norte,María,388,La Plata,A tiempo
182,2025-08-05 21:04:28,2025-08-06 02:04:28,Norte,Juan,277,La Plata,A tiempo
183,2025-02-04 04:47:59,2025-02-04 06:47:59,Central,Miguel,179,CABA,Retrasada
184,2024-11-09 08:12:40,2024-11-09 12:12:40,Sur,Juan,344,Luján,A tiempo
185,2025-01-24 15:16:06,2025-01-24 21:16:06,Sur,Miguel,497,CABA,A tiempo
186,2025-05-07 15:36:13,2025-05-07 22:36:13,Central,Lucía,407,La Plata,A tiempo
187,2025-09-03 23:00:11,2025-09-04 09:00:11,Norte,Miguel,381,Moreno,A tiempo
188,2025-09-12 10:21:47,2025-09-12 15:21:47,Este,Carlos,385,Luján,A tiempo
189,2025-03-04 10:06:44,2025-03-04 18:06:44,Oeste,María,339,La Plata,A tiempo
190,2025-03-10 13:00:40,2025-03-10 21:00:40,Oeste,Miguel,159,Moreno,Retrasada
191,2025-02-02 08:51:32,2025-02-02 16:51:32,Sur,Juan,342,Luján,A tiempo
192,2025-06-11 17:47:19,2025-06-12 00:47:19,Sur,María,399,La Plata,A tiempo
193,2025-08-06 15:21:08,2025-08-06 21:21:08,Este,Juan,387,Luján,A tiempo
194,2025-01-12 04:45:16,2025-01-12 13:45:16,Central,Miguel,57,GBA,Retrasada
195,2025-06-03 07:20:24,2025-06-03 09:20:24,Central,Miguel,121,CABA,A tiempo
196,2025-05-25 23:06:25,2025-05-26 05:06:25,Oeste,Juan,334,GBA,Retrasada
197,2025-01-02 08:31:12,2025-01-02 09:31:12,Norte,Juan,85,Luján,Retrasada
198,2025-03-05 17:16:13,2025-03-05 20:16:13,Oeste,Miguel,246,La Plata,Retrasada
199,2025-06-23 04:25:20,2025-06-23 14:25:20,Oeste,Lucía,89,La Plata,Cancelada
200,2024-11-25 01:07:10,2024-11-25 02:07:10,Norte,María,358,CABA,A tiempo
201,2025-08-29 06:51:32,2025-08-29 16:51:32,Oeste,Juan,66,GBA,Retrasada
202,2025-01-18 12:39:59,2025-01-18 16:39:59,Oeste,Lucía,451,Moreno,A tiempo
203,2025-07-25 17:16:43,2025-07-26 01:16:43,Oeste,Lucía,437,Luján,A tiempo
204,2025-03-19 05:54:05,2025-03-19 06:54:05,Sur,Carlos,419,Luján,Cancelada
205,2024-09-17 00:16:12,2024-09-17 10:16:12,Central,Juan,151,GBA,Retrasada
206,2025-03-27 19:22:25,2025-03-27 23:22:25,Oeste,Carlos,291,Luján,A tiempo
207,2025-06-24 04:03:00,2025-06-24 14:03:00,Norte,María,79,La Plata,A tiempo
208,2025-03-08 04:51:31,2025-03-08 11:51:31,Este,Juan,201,GBA,A tiempo
209,2025-02-07 14:52:25,2025-02-07 17:52:25,Central,Miguel,274,GBA,Retrasada
210,2024-09-26 06:36:20,2024-09-26 07:36:20,Oeste,Lucía,234,Luján,A tiempo
211,2025-08-01 03:03:18,2025-08-01 12:03:18,Este,María,350,La Plata,Retrasada
212,2024-10-18 09:21:06,2024-10-18 12:21:06,Central,Juan,201,La Plata,Retrasada
213,2025-01-12 22:26:59,2025-01-12 23:26:59,Este,María,57,CABA,A tiempo
214,2024-11-24 07:10:36,2024-11-24 08:10:36,Este,Carlos,140,La Plata,A tiempo
215,2025-04-24 21:33:03,2025-04-25 00:33:03,Sur,Carlos,289,Moreno,Cancelada
216,2025-01-05 12:12:06,2025-01-05 17:12:06,Oeste,Miguel,237,CABA,Retrasada
217,2025-06-15 04:20:25,2025-06-15 14:20:25,Central,Miguel,180,La Plata,Retrasada
218,2025-04-08 03:26:36,2025-04-08 04:26:36,Oeste,Lucía,184,GBA,A tiempo
219,2024-09-19 22:04:42,2024-09-20 02:04:42,Oeste,Miguel,369,CABA,A tiempo
220,2025-01-08 17:36:57,2025-01-08 22:36:57,Central,Miguel,159,La Plata,Retrasada
221,2025-09-07 22:18:26,2025-09-08 06:18:26,Sur,Carlos,101,CABA,A tiempo
222,2025-07-21 14:16:47,2025-07-21 22:16:47,Norte,Carlos,151,CABA,A tiempo
223,2024-11-20 16:20:18,2024-11-21 01:20:18,Norte,Carlos,349,Luján,A tiempo
224,2025-07-30 12:13:12,2025-07-30 14:13:12,Sur,Miguel,347,La Plata,A tiempo
225,2025-06-24 11:14:52,2025-06-24 21:14:52,Este,Lucía,121,GBA,A tiempo
226,2025-07-21 09:45:18,2025-07-21 11:45:18,Central ,Miguel,64,La Plata,A tiempo
227,2024-10-26 20:28:27,2024-10-27 06:28:27,Este,María,241,CABA,Retrasada
228,2025-04-13 10:32:51,2025-04-13 12:32:51,Sur,María,177,Luján,A tiempo
229,2024-11-23 23:31:52,2024-11-24 01:31:52,Oeste,Lucía,240,CABA,A tiempo
230,2025-03-17 00:25:45,2025-03-17 03:25:45,Este,Carlos,332,Luján,A tiempo
231,2025-08-17 05:17:59,2025-08-17 07:17:59,Oeste,María,302,La Plata,A tiempo
232,2025-04-20 05:21:41,2025-04-20 11:21:41,Oeste,María,61,CABA,A tiempo
233,2025-01-22 00:57:22,2025-01-22 01:57:22,Central,Lucía,444,Luján,A tiempo
234,2025-01-11 06:19:48,2025-01-11 11:19:48,Sur,Miguel,247,La Plata,A tiempo
235,2024-11-06 22:25:09,2024-11-07 00:25:09,Central,lucía,368,GBA,Retrasada
236,2025-08-30 08:12:39,2025-08-30 18:12:39,Este,Juan,206,La Plata,A tiempo
237,2024-09-27 23:35:17,2024-09-28 05:35:17,Sur,María,117,La Plata,A tiempo
238,2025-05-22 19:01:18,2025-05-23 04:01:18,Central,María,347,La Plata,A tiempo
239,2024-11-27 05:06:26,2024-11-27 06:06:26,Oeste,Carlos,260,Luján,A tiempo
240,2025-06-03 21:59:23,2025-06-04 04:59:23,Oeste,Juan,411,Luján,Retrasada
241,2025-03-05 22:00:16,2025-03-05 23:00:16,Este,María,121,Moreno,A tiempo
242,2025-08-26 11:25:14,2025-08-26 16:25:14,Norte,Lucía,312,CABA,A tiempo
243,2024-10-06 08:06:50,2024-10-06 15:06:50,Central,Lucía,278,La Plata,Retrasada
244,2025-05-29 22:15:21,2025-05-30 00:15:21,Norte,Lucía,190,GBA,Retrasada
245,2024-11-09 03:23:01,2024-11-09 06:23:01,Oeste,Miguel,127,Luján,A tiempo
246,2024-09-28 10:52:47,2024-09-28 16:52:47,Norte,Carlos,261,Luján,A tiempo
247,2025-06-01 02:30:44,2025-06-01 03:30:44,Sur,Lucía,473,La Plata,A tiempo
248,2025-06-20 12:06:22,2025-06-20 20:06:22,Norte,Carlos,160,Luján,A tiempo
249,2025-01-24 10:40:40,2025-01-24 13:40:40,Central,Miguel,222,Moreno,Cancelada
250,2025-05-19 01:17:32,2025-05-19 09:17:32,Central,Juan,72,La Plata,A tiempo
251,2025-03-08 21:12:07,2025-03-08 23:12:07,Este,Juan,265,GBA,A tiempo
252,2025-04-14 14:47:02,2025-04-14 16:47:02,Central,María,116,La Plata,Retrasada
253,2024-10-21 21:55:24,2024-10-22 02:55:24,Oeste,Miguel,153,La Plata,A tiempo
254,2025-01-07 12:07:20,2025-01-07 22:07:20,Sur,Juan,244,Moreno,Cancelada
255,2024-12-17 12:10:46,2024-12-17 21:10:46,Oeste,Lucía,308,La Plata,A tiempo
256,2025-06-11 09:56:04,2025-06-11 19:56:04,Este,Carlos,206,GBA,A tiempo
257,2024-12-03 21:25:25,2024-12-04 06:25:25,Sur,Miguel,499,CABA,A tiempo
258,2025-04-16 20:13:25,2025-04-16 21:13:25,Norte,Carlos,393,GBA,Retrasada
259,2025-01-08 13:50:58,2025-01-08 16:50:58,Sur,Carlos,407,Luján,A tiempo
260,2025-04-09 12:49:45,2025-04-09 22:49:45,Central,Lucía,282,La Plata,A tiempo
261,2024-10-12 06:29:43,2024-10-12 13:29:43,Este,Juan,122,La Plata,A tiempo
262,2025-04-28 20:43:29,2025-04-29 03:43:29,Central,María,385,La Plata,Retrasada
263,2025-04-28 04:38:25,2025-04-28 05:38:25,Oeste,Lucía,195,Moreno,A tiempo
264,2025-01-21 00:32:32,2025-01-21 06:32:32,Norte,Juan,280,Moreno,A tiempo
265,2024-12-16 02:39:01,2024-12-16 12:39:01,Oeste,Miguel,80,Moreno,Cancelada
266,2025-01-30 08:31:18,2025-01-30 11:31:18,Sur,Lucía,279,La Plata,A tiempo
267,2025-04-18 06:35:41,2025-04-18 10:35:41,Norte,Lucía,398,GBA,A tiempo
268,2025-03-06 20:52:01,2025-03-07 05:52:01,Norte,Lucía,206,Luján,Cancelada
269,2025-04-15 20:00:11,2025-04-16 04:00:11,Este,María,222,Moreno,A tiempo
270,2024-12-24 01:09:29,2024-12-24 03:09:29,Central,Lucía,437,La Plata,A tiempo
271,2024-09-18 20:58:03,2024-09-19 04:58:03,Norte,lucía,430,GBA,A tiempo
272,2024-12-12 09:39:22,2024-12-12 16:39:22,Oeste,Miguel,319,Luján,A tiempo
273,2024-10-28 11:09:12,2024-10-28 16:09:12,Sur,Miguel,405,GBA,A tiempo
274,2025-01-09 01:09:56,2025-01-09 04:09:56,Norte,María,325,Luján,A tiempo
275,2025-08-05 06:27:59,2025-08-05 11:27:59,Central,Lucía,138,Moreno,A tiempo
276,2025-07-26 05:57:34,2025-07-26 12:57:34,Norte,María,136,La Plata,A tiempo
277,2025-08-02 03:59:15,2025-08-02 10:59:15,Sur,Carlos,421,GBA,A tiempo
278,2025-04-12 03:57:07,2025-04-12 10:57:07,Oeste,María,362,CABA,A tiempo
279,2024-10-28 01:45:40,2024-10-28 06:45:40,Sur,Lucía,310,Moreno,A tiempo
280,2025-06-24 08:15:13,2025-06-24 10:15:13,Este,Lucía,121,CABA,Retrasada
281,2024-09-29 11:03:28,2024-09-29 16:03:28,Sur,Miguel,221,Moreno,A tiempo
282,2025-03-17 17:23:39,2025-03-17 23:23:39,Este,Miguel,270,Moreno,A tiempo
283,2025-02-15 01:41:42,2025-02-15 10:41:42,Norte,Lucía,237,GBA,Retrasada
284,2025-05-27 15:18:06,2025-05-27 22:18:06,Sur,Carlos,147,GBA,A tiempo
285,2025-08-04 11:45:51,2025-08-04 18:45:51,Sur,Carlos,326,Luján,A tiempo
286,2025-05-01 02:40:42,2025-05-01 06:40:42,Oeste,Miguel,387,CABA,A tiempo
